team,name,position,matches,goals,assists,status
Bournemouth,Alex Scott,M,0,0,0,Injured
Bournemouth,M. Tavernier,M,0,0,0,Injured
Bournemouth,Julian Araujo,D,0,0,0,Injured
Bournemouth,marco Senesi,D,0,0,0,Injured
Bournemouth,Luis Sinisterra,F,0,0,0,Doubtful
Bournemouth,A. Smith,D,0,0,0,Injured
Arsenal,Ben White ,D,0,0,0,Injured
Arsenal,Takehiro Tomiyasu,D,0,0,0,Injured
Arsenal,Riccardo Calafiori,D,0,0,0,Injured
Arsenal,B. Saka,F,0,0,0,Injured
Arsenal,E. Nwaneri,M,0,0,0,Injured
Arsenal,R. Sterling,F,0,0,0,Injured
Aston Villa,J. Philogene ,F,0,0,0,Injured
Aston Villa,D. Carlos ,D,0,0,0,Injured
Aston Villa,P. Torres ,D,0,0,0,Injured
Aston Villa,J. McGinn ,M,0,0,0,Injured
Aston Villa,J. Duran,F,0,0,0,Suspended
Brentford,B. Mee,D,0,0,0,Injured
Brentford,Aaron Hickey,M,0,0,0,Injured
Brentford,Joshua Da Silva,M,0,0,0,Injured
Brentford,E. Pinnock,D,0,0,0,Injured
Brentford,K. Ajer,D,0,0,0,Injured
Brentford,F. Carvalho,M,0,0,0,Injured
Brentford,Thiago,F,0,0,0,Injured
Brentford,G. Nunes,F,0,0,0,Injured
Brentford,Rico Henry,D,0,0,0,Injured
Brighton,Igor,D,0,0,0,Injured
Brighton,Ferdi Kadioglu,M,0,0,0,Injured
Brighton,James Milner,M,0,0,0,Injured
Brighton,M. Wieffer,M,0,0,0,Injured
Brighton,D. Welbeck,F,0,0,0,Injured
Brighton,E. Ferguson,F,0,0,0,Injured
Chelsea,O. Kellyman,F,0,0,0,Injured
Chelsea,W. Fofana,D,0,0,0,Injured
Chelsea,M. Mudryk,M,0,0,0,Suspended
Chelsea,K. Dewsbury-Hall,M,0,0,0,Injured
Chelsea,B. Badiashile,D,0,0,0,Injured
Chelsea,R. Lavia,M,0,0,0,Injured
Chelsea,C. Chukwuemeka,M,0,0,0,Injured
Crystal Palace,A. Wharton,M,0,0,0,Injured
Crystal Palace,Matheus Franca,F,0,0,0,Injured
Crystal Palace,F. Umeh,F,0,0,0,Injured
Crystal Palace,W. Hughes,M,0,0,0,Injured
Everton,Tim Iroegbunam,M,0,0,0,Injured
Everton,James Garner,M,0,0,0,Injured
Everton,D. McNeil,F,0,0,0,Injured
Everton,S. Coleman,D,0,0,0,Injured
Everton,A. Broja,F,0,0,0,Injured
Everton,Y. Chermiti,F,0,0,0,Injured
Fulham,R. Nelson,F,0,0,0,Injured
Fulham,Harrison Reed,M,0,0,0,Injured
Fulham,K. Tete,D,0,0,0,Injured
Fulham,S. Berge,M,0,0,0,Injured
Ipswich,Axel Tuanzebe,D,0,0,0,Injured
Ipswich,George Hirst,F,0,0,0,Injured
Ipswich,Chiedozie Ogbene,F,0,0,0,Injured
Ipswich,J. Donacien,D,0,0,0,Injured
Ipswich,C. Chaplin,F,0,0,0,Injured
Ipswich,O. Hutchinson,F,0,0,0,Injured
Leicester City,M. Hermansen,GK,0,0,0,Injured
Leicester City,Issahku Fatawu ,M,0,0,0,Injured
Leicester City,Ricardo Pereira ,D,0,0,0,Injured
